bus_name,address,city,state,tax_year,revenue,explanation
RIO RICO PROPERTY OWNERS ASSN,PO BOX 4052,RIO RICO,AZ,2014,4693,"RRPOA'S ACCOUNTANTS DISCOVERED A THEFT LOSS THAT OCCURED IN TAX YEARS 2012 AND 2013. THE LOSS TOTALLED 11,065. THE INDEPENDENT CONTRACTOR ADMITTED THE CRIME AND MADE RESTITUTION UP TO 5,500 BY YEAR END."
SMMHC INC,PO BOX 3160,APACHE JUNCTION,AZ,2009,15988921,"THE PREVIOUS CONTROLLER WAS GIVEN A POOR PERFORMANCE EVALUATION AND TERMINATED IN JUNE 2010. WHILE PERFORMING BANK RECONCILIATIONS, THE NEW CONTROLLER DISCOVERED IRREGULARITIES INVOLVING THE DISAPPERANCE OF $29,097. A FORENSIC ANALYSIS BY AN OUTSIDE AGENCY CONFIRMED THIS LOSS. THE LOSS WAS DUE TO OVERRIDING THE CONTROLS BY THE PREVIOUS CONTROLLER AND INVOLVED THEFT OF OUTSTANDING DEPOSITS, DEPOSIT LAPPING AND DEPOSIT CLEARING RECLASSIFICATION. THE ORGANIZATION HAS NOW ADOPTED PROCEDURES TO INSURE THAT CONTROLS ARE NOT OVERRIDEN AND THAT THERE IS AN APPROPRIATE SEGREGATION OF DUTIES. THE LOSS WAS COVERED BY THE ORGANIZATION'S FIDELITY INSURANCE POLICY."
SMMHC INC,PO BOX 3160,APACHE JUNCTION,AZ,2010,18500985,"THE PREVIOUS CONTROLLER WAS GIVEN A POOR PERFORMANCE EVALUATION AND TERMINATED IN JUNE 2010. WHILE PERFORMING BANK RECONCILIATIONS, THE NEW CONTROLLER DISCOVERED IRREGULARITIES INVOLVING THE DISAPPERANCE OF $29,097. A FORENSIC ANALYSIS BY AN OUTSIDE AGENCY CONFIRMED THIS LOSS. THE LOSS WAS DUE TO OVERRIDING THE CONTROLS BY THE PREVIOUS CONTROLLER AND INVOLVED THEFT OF OUTSTANDING DEPOSITS, DEPOSIT LAPPING AND DEPOSIT CLEARING RECLASSIFICATION. THE ORGANIZATION HAS NOW ADOPTED PROCEDURES TO INSURE THAT CONTROLS ARE NOT OVERRIDEN AND THAT THERE IS AN APPROPRIATE SEGREGATION OF DUTIES. THE LOSS WAS COVERED BY THE ORGANIZATION'S FIDELITY INSURANCE POLICY."
SOUTHERN ARIZONA FOUNDATION FOR EDUCATION-LUTHERAN INC,PO BOX 19139,TUCSON,AZ,2010,251140,"DURING THE YEAR ENDED DECEMBER 31, 2010 THE ORGANIZATION DISCOVERED THAT THE FORMER TREASURER HAD WRITTEN CHECKS TO HIMSELF WITHOUT THE PRIOR AUTHORIZATION OF THE BOARD.CHECKS WRITTEN DURING THE PERIOD OF JANUAURY 1, 2005 TO DECEMBER 31, 2009 TOTALED $90,695 AND HAD NOT BEEN DISCOVERED IN PRIOR YEARS.CHECKS WRITTEN DURING 2010 TOTALLED $33,206 FOR A GRAND TOTAL OF $123,901.IN DECEMBER 2010, $25,000 WAS RETURNED BY THE FORMER TRESURER. DURING 2011, ADDITIONAL PAYMENTS OF $42,600 WERE RETURNED TO THE ORGANIZATION BY THE FORMER TREASURER. THE FORMER TREASURER HAS SIGNED A NOTE PAYABLE TO THE ORGANIZATION ACKNOWLEDGING THE REMAINING DEBT."
TUCSON CENTERS FOR WOMEN & CHILDREN INC DBA EMERGE CTR AGAINST DOMESTIC ABUSE,2545 E ADAMS ST,TUCSON,AZ,2015,4820468,"DURING THE YEAR ENDED JUNE 30, 2016, AFTER AN EMPLOYEE LEFT EMPLOYMENT, EMERGE! DETECTED UNAUTHORIZED CHARGES ON THE COMPANY CREDIT CARD MADE BY THE FORMER EMPLOYEE. AFTER FURTHER INTERNAL EXAMINATION, THE INFORMATION WAS TURNED OVER TO LAW ENFORCEMENT. IN ADDITION, A CLAIM WAS FILED WITH OUR INSURANCE CARRIER AND WITH THE BANK ASSOCIATED WITH SAID CREDIT CARD. AN INSURANCE PAY OUT FOR NEARLY ALL OF THE IDENTIFIED UNAUTHORIZED CHARGES WAS RECEIVED IN OCTOBER 2016. FOLLOWING THIS INCIDENT, EMERGES ALREADY STRONG INTERNAL CONTROL PROCEDURES WERE FURTHER ENHANCED TO REDUCE FUTURE RISK."
VISIONS OF HOPE ARIZONA INC,421 E UNIVERSITY,MESA,AZ,2012,2098035,"A PRIOR EXECUTIVE WITH THE ORGANIZATION WAS REIMBURSED FOR APPROX. $165,000 WORTH OF EXPENDITURES THAT APPEARED TO HAVE EITHER: NO OBVIOUS BUSINESS PURPOSE, NO RECIEPT OR SIMILAR SUPPORTING DOCUMENTATION TO SUBSTIANTIATE THE EXPENDITURE AS AN APPROPRIATE BUSINESS EXPENSE OR NO APPROVAL BY THE BOARD PRIOR TO REIMBURSEMENT A DIFFERENT FORMER OFFICER GAVE UNAUTHORIZED PAYMENTS TO HERSELF VIA CHECK. THESE FRAUDULENT CHECKS TOTALED APPROXIMATELY $104,000 AND WERE WRITTEN BETWEEN AUGUST 2010 AND MARCH 2013. IN BOTH CASES, EMPLOYMENT OF THE EXECUTIVES HAS BEEN TERMINATED AND DISCOVERY OF THE FRAUDS REPORTED TO THE OFFICE OF INSPECTOR GENERAL AND MAGELLAN COMPLIANCE DEPARTMENT. NEITHER CASE HAS BEEN CORRECTED. THE ORGANIZATION IS CURRENTLY ASSESSING ITS OPTIONS FOR RECOVERING THE FUNDS."
YUMA VISITORS BUREAU,180 W FIRST STREET,YUMA,AZ,2015,1205666,"EMPLOYEE THEFT WAS DISCOVERED DURING THE YEAR. NET LOSS AFTER INSURANCE REIMBURSEMENT WAS $15,678. THE BUREAU HAS EXAMINED ALL OF ITS ACCOUNTING POLICIES AND PROCEDURES AND REVISED THEM AS NEEDED TO TRY TO PREVENT ANY FUTURE OCCURRENCE OF EMPLOYEE THEFT OCCURRING."
ALCOHOL & DRUG ABUSE COUNCIL OF CONTRA COSTA INC,2020 N BROADWAY,WALNUT CREEK,CA,2014,556481,"ACCORDING TO THE PRESIDENT'S REPRESENTATION AT THE END OF THE PRIOR FISCAL YEAR, THE ORGANIZATION HAD $30,000 OF CASH RESERVES HELD IN A SAFE DEPOSIT BOX. WHILE PREPARING THE CURRENT TAX REPORT, THE TAX PREPARER WAS UNABLE TO ASCERTAIN THE EXISTENCE OF THOSE CASH RESERVES. ATTEMPTS WERE MADE TO VERIFY THE CASH RESERVES BUT THOSE ATTEMPTS WERE UNSUCCESSFUL. AT THIS TIME, IT IS NOT KNOWN WHETHER OR NOT THE $30,000 STILL EXISTS AS AN ASSET OF THE ORGANIZATION."
ALCOHOLIC REHABILITATION ASSN OF SF INC,1035 HAIGHT STREET,SAN FRANCISCO,CA,2012,395505,"IN AUGUST OF 2012 ORGANIZATION NOTICED THAT RENTAL REVENUES WERE DECLINING IN SPITE OF CONSISTENT OCCUPANCY. THE EMPLOYEE IN CHARGE OF RENTAL COLLECTIONS WAS QUESTIONED ABOUT THE DECLINE AND ADMITTED TO ACCEPTING CASH FROM RESIDENTS AND ISSUING FRADULENT RECEIPTS. UPON FURTHER INVESTIGATION INTO THE FRAUD, THE ORGANIZATION DETERMINED THAT OVER $30,000 HAD BEEN EMBEZZELED BY THIS EMPLOYEE FROM FEBRUARY OF 2012 UNTIL AUGUST OF 2012. THE EMPLOYEE WAS IMMEDIATELY FIRED AND A POLICE REPORT WAS FILED."
ALHAMBRA SERVICES CORPORATION,1745 NORTH GRAMERCY PLACE,HOLLYWOOD,CA,2014,4498450,"ON JUNE 25, 2014 ALHAMBRA SERVICES CORP. SOLD ITS ASSETS, WHICH COMPRISED LAND AND BUILDINGS, TOGETHER WITH SOME PROPERTY AND EQUIPMENT TO A THIRD PARTY FOR $5,000,000."
AMALGAMATED TRANSIT UNION 1027,1221 VAN NESS NO 304,FRESNO,CA,2010,259302,FORMER TREASURER HAD EMBEZZLED FUNDS DURING HIS TERM. THE THEFT WAS DISCOVERED WHEN THE NEW TREASURER TOOK OVER. THE FUNDS WERE RECOVERED IN 2010 AND 2011.
AMALGAMATED TRANSIT UNION 1027,1221 VAN NESS NO 304,FRESNO,CA,2011,243064,FORMER TREASURER HAD EMBEZZLED FUNDS DURING HIS TERM. THE THEFT WAS DISCOVERED WHEN THE NEW TREASURER TOOK OVER. THE FUNDS WERE RECOVERED IN 2010 AND 2011.
AMALGAMATED TRANSIT UNION LOCAL 1575,185 N REDWOOD DRIVE ROOM/SUITE 220,SAN RAFAEL,CA,2010,409714,"DURING 2010, IT WAS DISCOVERED THAT AN EMPLOYEE WAS BEING OVERCOMPENSATED AS A RESULT OF THE EMPLOYEE FALSIFYING PAYROLL TIME SHEETS. THE EMPLOYEE WAS TERMINATED AND ALL DIVERTED MONEY WAS RETURNED TO THE UNION."
AMERICAN NURSES ASSOCIATION CALIFORNIA,1121 L STREET,SACRAMENTO,CA,2015,475089,"AS OF THE FILING OF THIS FORM 990, IT HAS NOT YET BEEN DETERMINED THE FULL EXTENT OF THE DIVERSION. LEGAL AND FINANCIAL ACTIVITIES ARE UNDERWAY TO DETERMINE THE EXTENT OF THE DIVERSION BY A CONTRACTOR."
ARABIC COMMUNICATION CENTER,281 N ALTADENA DRIVE,PASADENA,CA,2011,138138,
ARTISTS FOR PEACE AND JUSTICE,1507 7TH STREET,SANTA MONICA,CA,2015,3203087,"DURING NOVEMBER OF 2015 OUR EMAIL WAS HACKED AND WE SENT $63.5K TO A FRAUDULANT ACCOUNT. WE FILED A POLICE REPORT, AND REGISTERED THIS CLAIM WITH FEDERAL GOVERNMENT."
ASSISTANCE LEAGUE OF SONOMA CO,5 WEST SIXTH STREET,SANTA ROSA,CA,2012,149186,THE ORGANIZATION BECAME AWARE OF POSSIBLE DIVERSION OF FUNDS DURING THE YEAR AND TOOK IMMEDIATE STEPS TO STRENGTHEN INTERNAL CONTROLS.
AUXILIARY OF RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,26520 CACTUS AVE,MORENO VALLEY,CA,2010,126470,"A CRIMINAL INVESTIGATION IS IN PROCESS REGARDING THE PREVIOUS PRESIDENT'S EMBEZZLING OF FUNDS IN THE CURRENT YEAR AMOUNTING TO $140,088 AND IN THE PRIOR YEAR AMOUNTING TO $11,561."
BENEVOLENT & PROTECTIVE ORDER ELKS 1420,PO BOX 1299,BRAWLEY,CA,2010,99688,ORGANIZATION BECAME AWARE OF A MATERIAL DIVERSION OF ORGANIZATIONS ASSETS: CASH TOTALING IN THE AMOUNT OF $12735 FROM A FORMER VOLUNTEER. WHEN INITIALLY DISCOVERED THE VOLUNTEER INDICATED HE WOULD PAY RESTITUTION AND ENTERED ON THE BOOKS AS A LOAN RECEIVABLE. THE VOLUNTEER HAS NOT MADE ANY ATTEMPT TO REPAY THIS MONEY. COPY OF THE FORM 990 WAS PRESENTED TO THE TREASURER IN ORDER TO REVIEW WITH THE GOVERNING BODY THE CONTENTS BEFORE SUBMISSION OF THE RETURN TO INTERNAL REVENUE SERVICE.
BOX SPRINGS MUTUAL WATER COMPANY,21740 DRACAEA AVENUE,MORENO VALLEY,CA,2012,392825,AN EMBEZZLEMENT WAS DISCOVERED IN EARLY 2012. THE CRIMINAL WAS PROSECUTED AND CONVICTED AND HAS SERVED JAIL TIME.
BOYS & GIRLS CLUBS OF LA HABRA,1211 FAHRINGER WAY,LA HABRA,CA,2009,1424065,THE TAXPAYER DISCOVERED THIER OFFICE MANAGER WAS STEALING CASH FROM THE ORGANIZATION. THE OFFICE MANAGER WAS ALSO CAUGHT FALSIFYING PAYROLL.
CALIFORNIA GSP RESCUE INC,1655 LITTLE GOPHER CANYON ROAD,VISTA,CA,2015,97972,
CALIFORNIA TEACHERS ASSOCIATION HEMET TEACHERS ASSOCIATION,1779 E FLORIDA AVE,HEMET,CA,2011,212883,DURING THE YEAR THE OFFICE MANAGER RECEIVED UNAUTHORIZED PAYROLL CHECKS IN EXCESS OF THE BOARD APPROVED CONTRACTED AMOUNT.
CALIFORNIA TEACHERS ASSOCIATION HEMET TEACHERS ASSOCIATION,1779 E FLORIDA AVE,HEMET,CA,2012,331491,DURING THE YEAR THE OFFICE MANAGER RECEIVED UNAUTHORIZED PAYROLL CHECKS IN EXCESS OF THE BOARD APPROVED CONTRACTED AMOUNT.
CALIFORNIA VEHICLE FOUNDATION,2200 FRONT STREET,SACRAMENTO,CA,2014,794932,"AN EMPLOYEE STOLE $20,427 IN CASH FROM THE ORGANIZATION, WHICH WAS RECOVERED FROM AN INSURANCE POLICY. THE EMPLOYEE WAS TERMINATED."
CALIFORNIA VIRTUAL EDUCATION PARTNERS,1200 QUAIL STREET,NEWPORT BEACH,CA,2013,4558449,"IN JUNE 2013, THE ORGANIZATION'S GOVERNING BOARD APPROVED A $750,000 ""DONATION FEE"" TO VINTAGE CAPITAL MANAGEMENT. THE FEE WAS PURPORTEDLY DESCRIBED AS ""REFUNDABLE"" AND WAS A CONDITION TO RECEIVING A DONATION OF $3 MILLION. THE ORGANIZATION NEVER RECEIVED THE DONATION NOR REPAYMENT OF THE $750,000 DEPOSIT. JEREMY LANDAU, A NEW GOVERNING BOARD MEMBER ADDED IN EARLY JUNE 2013 IS ASSOCIATED WITH VINTAGE CAPITAL MANAGEMENT AND PURPORTEDLY PLEDGED THE DONATION TO THE ORGANIZATION. THE ORGANIZATION MADE AN ADJUSTMENT TO ITS FINANCIALS TO ACCOUNT FOR THE PROBABLE LOSS OF THE $750,000 AND THE ORGANIZATION HAS CONTACTED LEGAL AUTHORITIES TO INVESTIGATE ANY POSSIBLE CRIMINAL INTENT."
CALIFORNIA VIRTUAL EDUCATION PARTNERS DBA CALIFORNIA PACIFIC CHARTER SCHOOLS,1200 QUAIL STREET,NEWPORT BEACH,CA,2012,3748686,"IN JUNE 2013, THE ORGANIZATION'S GOVERNING BOARD APPROVED A $750,000 ""DONATION FEE"" TO VINTAGE CAPITAL MANAGEMENT. THE FEE WAS PURPORTEDLY DESCRIBED AS ""REFUNDABLE"" AND WAS A CONDITION TO RECEIVING A DONATION OF $3 MILLION. THE ORGANIZATION NEVER RECEIVED THE DONATION NOR REPAYMENT OF THE $750,000 DEPOSIT. JEREMY LANDAU, A NEW GOVERNING BOARD MEMBER ADDED IN EARLY JUNE 2013 IS ASSOCIATED WITH VINTAGE CAPITAL MANAGEMENT AND PURPORTEDLY PLEDGED THE DONATION TO THE ORGANIZATION. THE ORGANIZATION MADE AN ADJUSTMENT TO ITS FINANCIALS TO ACCOUNT FOR THE PROBABLE LOSS OF THE $750,000 AND THE ORGANIZATION HAS CONTACTED LEGAL AUTHORITIES TO INVESTIGATE ANY POSSIBLE CRIMINAL INTENT."
CARR EDUCATIONAL FOUNDATION,PO BOX 4333,SAN RAFAEL,CA,2011,637652,"THE FULL EXTENT OF EMBEZZLEMENT IS NOT KNOWN AT THIS TIME BUT IS PROJECTED TO BE APPROXIMATELY 5% OF TOTAL NET ASSETS. THE INVESTIGATION IS ONGOING, AND THE FOLLOWING STEPS HAVE BEEN TAKEN.1) THE EMPLOYEE WAS DISMISSED FROM EMPLOYMENT WITH DARAJA AS OF JULY OF 2011.2) CONTINUING CONSULTATION WITH LEGAL COUNSEL TO DETERMINE WHETHER OR NOT TO PROSECUTE THE EMPLOYEE RESPONSIBLE FOR THE FRAUD.3) HIRED AN OUTSIDE KENYAN ACCOUNTANT TO REGULARLY REVIEW THE FINANCIALS AND WORK WITH THE TREASURER OF THE BOARD OF DIRECTORS IN SEPTEMBER 2011.4) FOR THE KENYAN BASED ACCOUNTING, SEGREGATED DUTIES HAVE BEEN ESTABLISHED BY USING A KENYAN CERTIFIED ACCOUNTING FIRM AS AN INDEPENDENT BOOKKEEPER TO PREPARE THE ACCOUNTING RECORDS.5) A PETTY CASH ACCOUNTING SYSTEM IS IN PLACE WITH THE USE OF A CASHBOX AND SAFE ON THE SCHOOL CAMPUS. INTERNAL CONTROL PROCEDURES ARE IN PLACE TO SECURE AGAINST THEFT.6) THE CPA CONTRACTS WITH AN EXTERNAL AUDITOR TO REVIEW THEIR WORK ANNUALLY.5) ALL MONTHLY BANK STATEMENTS ARE RECEIVED VIA EMAIL AND MAIL BY THE DIRECTOR OF THE SCHOOL AND FORWARDED ONTO THE KENYAN CPA AND TREASURER.6) AN ANNUAL AUDIT OF THE DARAJA AND CARR BOOKS WILL BE CONDUCTED BEGINNING WITH FISCAL YEAR END 12/31/2012.7) FOOD PURCHASES ARE NO LONGER MADE ON A CASH BASIS AT LOCAL MARKETS. ACCOUNTS HAVE BEEN ESTABLISHED WITH LARGE VENDORS WHO BILL MONTHLY. FOOD INVENTORY SYSTEMS HAVE BEEN ESTABLISHED ON CAMPUS TO RECONCILE WITH DELIVERY RECORDS EACH WEEK.8) THE DIRECTORS OF THE SCHOOL ARE THE ONLY EMPLOYEES ALLOWED TO WITHDRAW FUNDS FROM THE BANK.9) A CARR EDUCATIONAL BOARD MEMBER TRAVELS TO CAMPUS TO REVIEW SYSTEMS AT LEAST ONCE A YEAR."
CHICO FEMINIST WOMENS HEALTH CENTER DBA WOMENS HEALTH SPECIALISTS,1750 WRIGHT STREET,SACRAMENTO,CA,2012,6986126,"DURING 2012, WOMEN'S HEALTH SPECIALISTS' MANAGEMENT WAS MADE AWARE OF A MATERIAL DIVERSION OF THE ORGANIZATION'S ASSETS. SUBSEQUENT INVESTIGATION OF THE DIVERSION ESTIMATED THE TOTAL THEFT AT $81,348 OVER SEVERAL YEARS. THE ORGANIZATION HAS MADE CHANGES TO ADDRESS THE CONDITIONS THAT ALLOWED THE THEFT TO OCCUR AND GO UNDETECTED, HAS TERMINATED THE EMPLOYEE INDICATED IN THE THEFT AND NOTIFIED LAW ENFORCEMENT."
CHRIST ALONE INC,2635 SYCAMORE LANE,PALMDALE,CA,2014,832,
CHRISTIAN CREDIT COUNSELORS INC,5838 EDISON PL,CARLSBAD,CA,2014,3396234,"THE ORGANIZATION ENTERED INTO A PARTNERSHIP AGREEMENT TO DEVELOP AN INTERNET MARKETING COMPANY. AS OF DECEMBER 31, 2014, THE ORGANIZATION HAD INVESTED $697,761 IN THIS PARTNERSHIP AGREEMENT. $692,564 WAS PREVIOUSLY CLASSIFIED AS OPERATING EXPENSES; A PRIOR PERIOD ADJUSTMENT HAS BEEN MADE."
CHRISTOPHER STREET WEST ASSOCIATION INC,8581 SANTA MONICA BLVD NO 6,WEST HOLLYWOOD,CA,2014,2348987,"THE SECRETARY OF CSW TOOK A PERSONAL LOAN FROM CSW WITHOUT PERMISSION USING A CORPORATE CREDIT CARD. THE LOAN WAS NOT APPROVED BY CSW BOARD OF DIRECTORS AND WAS DISCOVERED BY THE TREASURER. CSW IMMEDIATELY CONSULTED WITH COUNSEL AND THE CPA AND TOOK SWIFT ACTION TO ATTEND TO THIS SERIOUS MATTER. CSW UNDERSTANDS THAT IT IS THE STEWARD OF THE PUBLIC'S CONTRIBUTIONS AND THESE CONTRIBUTIONS SHOULD BE USED FOR THE CHARITABLE PURPOSES FOR WHICH THEY WERE INTENDED. CSW WILL NOT TOLERATE ANY ACTIVITY WHICH CAUSES FUNDS TO BE USED OTHERWISE. CSW HAS ADDRESSED THIS UNAPPROVED LOAN AS OUTLINED BELOW AND IS CONFIDENT THAT FISCAL CONTROLS ARE NOW IN PLACE WHICH WILL PREVENT EVENTS LIKE THIS FROM OCCURRING IN THE FUTURE. -THE CSW BOARD OF DIRECTORS DISMISSED THE SECRETARY. -THE TREASURER OF THE BOARD VOLUNTARILY RESIGNED. -CSW CONSULTED WITH COUNSEL TO RATIFY AND IMPLEMENT MORE STRINGENT FISCAL POLICIES AND PROCEDURES FOR CSW, INCLUDING LOCKING CORPORATE CREDITS INTO A SAFE WHEN THEY ARE NOT IN USE DURING THE YEAR. -CSW WILL HIRE AN ADDITIONAL PART-TIME EMPLOYEE TO PERFORM FINANCIAL AND OVERSIGHT RESPONSIBILITIES OUTLINED IN THE FISCAL POLICIES AND PROCEDURES. -THE CSW BOARD WILL PARTICIPATE IN A BOARD TRAINING WITH A FOCUS ON FISCAL ROLES AND RESPONSIBILITIES OF BOARD MEMBERS."
COMMUNITY CENTERS INC,7518 S VERMONT AVENUE,LOS ANGELES,CA,2010,1388098,
COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE SUITE,SAN BERNARDINO,CA,2013,185461623,"A FORMER CHSB EMPLOYEE COMMITTED FRAUD THROUGH FALSELY DOCUMENTING TIME CARDS AND VENDOR SERVICE PAYMENTS. THAT EMPLOYEE WAS CHARGED AND CONVICTED OF THE GRAND THEFT. OTHER FORMER EMPLOYEES COMPLICIT IN THE FRAUD ARE AWAITING TRIAL. RESTITUTION FROM THE FORMER EMPLOYEES WILL BE SOUGHT. THE DOLLAR AMOUNT OF DIVERSION IS $1,605,497."
COMMUNITY HOUSING WORKS,2815 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,2015,15364756,"CHANGE IN CONTROL OF COMMUNITY HOUSINGWORKS REALTY &  LENDING:AS OF OCTOBER 1, 2015, THE ORGANIZATION TRANSFERRED CONTROL OF COMMUNITY HOUSINGWORKS REALTY &  LENDING (CHW R& L), A NONPROFIT CALIFORNIA CORPORATION INCORPORATED ON FEBRUARY 25, 1982, TO SPRINGBOARD, A NATIONAL CONSUMER FINANCIAL SERVICES NONPROFIT. PREVIOUSLY, CHW R& L WAS A CONSOLIDATED AFFILIATE OF COMMUNITY HOUSINGWORKS. WITH THIS MOVE, THE ORGANIZATION WILL BE ABLE TO EMBRACE ITS GROWTH AND STATEWIDE EXPANSION, THROUGH A SHARPENED FOCUS ON DEVELOPING AND OPERATING ATTRACTIVE AND SAFE APARTMENT COMMUNITIES AND PROVIDING FOR RESIDENT SERVICES ON SITE AT THESE THRIVING COMMUNITIES. THE IMPACT OF THE TRANSFER OF CONTROL REDUCED CONSOLIDATED NET ASSETS BY $8,079,381 EFFECTIVE JANUARY 1, 2015. THE ACTIVITY OF CHW R& L HAS NOT BEEN CONSOLIDATED INTO THESE FINANCIAL STATEMENTS AS OF AND FOR THE YEAR ENDED DECEMBER 31, 2015. AS PART OF THE AGREEMENT WITH SPRINGBOARD, CERTAIN ASSETS AND LIABILITIES WERE RETAINED BY THE ORGANIZATION WHICH HAVE BEEN REPORTED AS FOLLOWS IN THE CONSOLIDATED STATEMENT OF ACTIVITIES FOR THE YEAR ENDED DECEMBER 31, 2015:TRANSFER COSTS $(1,371,788)TRANSFER OF NET ASSETS 531,846NET COSTS REPORTED IN OTHER REVENUE AND (EXPENSE)FOR THE YEAR ENDED DECEMBER 31, 2015 $ (839,942)"
COMUNIDAD SIERVOS DE CRISTO VIVO,3085 BEYER BLVD,SAN DIEGO,CA,2015,371058,
CONSULTANTS IN EDUCATIONAL & PERSON,PO BOX 41639,SACRAMENTO,CA,2013,1217770,"REGRETTABLY IN APRIL OF 2013, IT WAS DISCOVERED THAT AN EMPLOYEE HAD ENGAGED IN SIGNIFICANT INSTANCES OF EMBEZZLEMENT AND EMPLOYEE THEFT. IT HAS BEEN DETERMINED THAT ALLEGEDLY THE THEFT BY SAID EMPLOYEE TOTALED OVER 30,000 FROM THE ORGANIZATION. THE INDIVIDUAL IS CURRENTLY REPAYING THE AMOUNT BACK TO THE ORGANIZATION. THE ORGANIZATION IS IN DISCUSSION WITH AN OUTSIDE CPA FIRM TO HAVE AN INTERNAL CONTRAL REVIEW PERFORMED FOR THE ORGANIZATION."
CONSULTANTS IN EDUCATIONAL & PERSON,PO BOX 41639,SACRAMENTO,CA,2014,1361582,"REGRETTABLY, IN MARCH OF 2014, IT WAS DISCOVERED THAT AN EMPLOYEE HAD ENGAGED IN SIGNIFICANT INSTANCES OF EMBEZZLEMENT OF CLIENT TRUST FUNDS. THE LOSS WAS COVERED BY INSURANCE EXCEPT FOR A 5,000 INSURANCE DEDUCTIBLE AMOUNT. THE ORGANIZATION IS CURRENTLY TRYING TO GET THIS 5,000 AMOUNT BACK FROM THESE INDIVIDUALS. SEE ATTACHED POLICE REPORT WHICH INDICATED A TOTAL EMBEZZLEMENT LOSS OF 53,207."
DISCOVERY COUNSELING CENTER OF THE SAN RAMON VALLEY INC,115-A TOWN COUNTRY DRIVE,DANVILLE,CA,2010,1079549,"THE DISCOVERY COUNSELING CENTER DISCOVERED THAT FRAUDULENT ACTIVITY HAD BEEN PERPETRATED BY THE ORGANIZATION'S FORMER EXECUTIVE DIRECTOR. BASED ON A THOROUGH ACCOUNTING PERFORMED BY A MEMBER OF THE BOARD OF DIRECTORS (ALONG WITH ASSISTANCE FROM AN OUTSIDE FORENSIC ACCOUNTANT), IT WAS DETERMINED THAT THE ORGANIZATION SUSTAINED A LOSS OF APPROXIMATELY $163,000. A MAJORITY OF THE FRAUD OCCURRED DURING THE FISCAL YEARS ENDED 6/30/10 AND 6/30/09. APPROXIMATELY $16,000 OF THE FRAUD OCCURRED DURING THE FISCAL YEAR ENDED 6/30/11. IN AUGUST OF 2011, THE ORGANIZATION RECEIVED $100,000 IN RESTITUTION FROM ITS FORMER EXECUTIVE DIRECTOR."
DOUBLE BLESSINGS-PLUS MINISTRY,4935 DUNSMUIR COMMONS,FREMONT,CA,2014,-58795,
EL CAJON CEMETERY ASSOCIATION,1270 PEPPER DRIVE,EL CAJON,CA,2013,464238,"IN 2013, THE ORGANIZATION DISCOVERED THAT AN ALLEGED DIVERSION OF ASSETS APPEARED TO HAVE TAKEN PLACE, WHICH AS BEST AS COULD BE ESTIMATED AT THE TIME, AMOUNTED TO $90,350. THE ALLEGED DIVERSION OF ASSETS APPEARED TO BE RELATED TO FUNDS COLLECTED FROM CUSTOMERS BUT NOT DEPOSITED INTO THE ORGANIZATION'S ACCOUNT. ONCE DISCOVERED, CORRECTIVE ACTION WAS TAKEN, INCLUDING FILING A POLICE REPORT AND CONTACTING THE ORGANIZATION'S INSURANCE COMPANY. THE INSURANCE COMPANY HAS REIMBURSED THE ORGANIZATION $55,000. THE CEMETERY'S BOARD OF DIRECTORS IS WAITING FOR THE RESULTS OF THE POLICE INVESTIGAITON AND THE BOARD IS NOT CONDUCTING ANY FURTHER INTERNAL INVESTIGATION BEYOND THE TIME PERIOD PREVIOUSLY DONE."
